0,3837
1,5770
2,5663
3,6363
4,6810
5,8120
6,8072
7,6970
8,4979
9,7519
10,7519
11,10000
12,7027
13,8320
14,8261
15,7005
16,6810
17,8120
18,8072
19,6970
20,6120
21,5470
22,5431
23,3698
24,6714
25,7964
26,7973
27,6728
28,10000
29,7433
30,7433
31,5021
32,4979
33,7519
34,7519
35,10000
36,6714
37,7964
38,7973
39,6728
40,3709
41,5582
42,5561
43,6118
44,6995
45,8228
46,8198
47,6799
48,7027
49,8320
50,8261
51,7005
52,10000
53,7433
54,7433
55,5021
56,6995
57,8228
58,8198
59,6799
60,6447
61,5780
62,5691
63,3804
