0,7862
1,7926
2,8318
3,8117
4,7804
5,7819
6,8256
7,7995
8,7871
9,7918
10,8349
11,8125
12,7736
13,7763
14,8202
15,7979
16,8131
17,8228
18,8617
19,8395
20,8133
21,8181
22,8615
23,8333
24,8149
25,8229
26,8657
27,8412
28,8064
29,8124
30,8560
31,8316
32,7804
33,7861
34,8284
35,8096
36,7742
37,7750
38,8218
39,7970
40,7866
41,7906
42,8368
43,8157
44,7675
45,7695
46,8165
47,7955
48,7991
49,8081
50,8501
51,8292
52,7989
53,8030
54,8495
55,8226
56,8062
57,8135
58,8594
59,8362
60,7921
61,7974
62,8441
63,8210
