"Query","Algorithm","Count","Time",	"WCOJTime","copy","mat"
"Clique(3)","WCOJ","188705","2,74","0,38","0,01","1,83"
"Clique(4)","WCOJ","47824","4,82",	"1,35","0,00","3,01"
"Clique(5)","WCOJ","7064","7,68",		"2,22","0,00","4,94"
"Cycle(4)","WCOJ","183050","4,02",	"1,00","0,01","2,77"
"Cycle(5)","WCOJ","92810","5,57",  "1,73","0,00","3,55"
"Cycle(6)","WCOJ","34457","7,18",  "2,54","0,00","4,38"
