"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","1939751","3,16","0,65","0,07","1,80"
"Clique(4)","WCOJ","2156279","6,10","2,25","0,08","3,19"
"Clique(5)","WCOJ","1599303","10,72","4,92","0,07","5,07"
"Cycle(4)","WCOJ","3076324","5,76","2,58","0,12","2,63"
"Cycle(5)","WCOJ","6389425","11,96","7,10","0,24","3,99"
"Cycle(6)","WCOJ","11682732","28,38","22,39","0,45","4,59"
