0,4912
1,4792
2,5199
3,4996
4,5298
5,5271
6,5079
7,5007
8,4997
9,4890
10,5257
11,5085
12,5359
13,5344
14,5128
15,5089
16,4613
17,4460
18,4840
19,4676
20,4970
21,4936
22,4745
23,4675
24,5153
25,5027
26,5411
27,5237
28,5522
29,5516
30,5305
31,5234
32,5042
33,4905
34,5303
35,5113
36,5415
37,5413
38,5183
39,5108
40,5150
41,4989
42,5403
43,5225
44,5503
45,5494
46,5281
47,5202
48,5186
49,5043
50,5457
51,5266
52,5579
53,5539
54,5320
55,5283
56,5063
57,4919
58,5316
59,5130
60,5424
61,5396
62,5190
63,5137
