"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","3,04","0,75","0,06","1,79"
"Clique(5)","WCOJ","11,60","5,63","0,07","5,37"
"Cycle(6)","WCOJ","33,40","27,43","0,46","4,57"
