"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","3,07","0,77","0,06","1,80"
"Clique(5)","WCOJ","11,09","5,30","0,07","5,15"
"Cycle(6)","WCOJ","32,86","26,84","0,49","4,58"
