"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","2,95","0,73","0,06","1,71"
"Clique(5)","WCOJ","10,81","5,14","0,06","5,09"
"Cycle(6)","WCOJ","32,86","26,79","0,48","4,65"
