"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","3,47","0,83","0,07","1,92"
"Clique(5)","WCOJ","10,92","5,18","0,07","4,99"
"Cycle(6)","WCOJ","31,46","25,30","0,46","4,70"
