"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","2,80","0,64","0,06","1,67"
"Clique(5)","WCOJ","10,82","5,07","0,06","5,15"
"Cycle(6)","WCOJ","32,06","26,04","0,47","4,61"
