"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","2,94","0,73","0,06","1,73"
"Clique(5)","WCOJ","11,20","5,34","0,07","5,26"
"Cycle(6)","WCOJ","31,83","25,91","0,46","4,50"
