Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),sbin,000000188.705,003.08,000.00,000.00,000.00
Clique(4),sbin,000000047.824,003.85,000.00,000.00,000.00
Clique(5),sbin,000000007.064,004.22,000.00,000.00,000.00
Cycle(4),sbin,00003.076.324,004.90,000.00,000.00,000.00
Cycle(5),sbin,00006.389.425,013.15,000.00,000.00,000.00
Cycle(6),sbin,00011.682.732,038.00,000.00,000.00,000.00
