Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),WCOJ,000000540.225,002.27,000.73,000.02,001.07
Clique(4),WCOJ,000000260.786,007.65,004.85,000.01,002.32
Clique(5),WCOJ,000000040.137,016.28,012.65,000.00,003.08
