0,8212
1,8139
2,8259
3,8116
4,8239
5,8262
6,8301
7,8222
8,8249
9,8152
10,8203
11,8122
12,8195
13,8271
14,8238
15,8232
16,8261
17,8293
18,8274
19,8168
20,8316
21,8354
22,8313
23,8326
24,8235
25,8245
26,8131
27,8115
28,8227
29,8323
30,8222
31,8272
32,8210
33,8115
34,8263
35,8121
36,8322
37,8251
38,8295
39,8209
40,8269
41,8141
42,8209
43,8114
44,8261
45,8224
46,8222
47,8203
48,8253
49,8292
50,8309
51,8186
52,8318
53,8335
54,8311
55,8232
56,8208
57,8179
58,8095
59,8066
60,8212
61,8209
62,8123
63,8103
