0,5128
1,5770
2,5663
3,7002
4,6801
5,6872
6,8072
7,6955
8,5000
9,7519
10,7519
11,9346
12,7057
13,6983
14,8261
15,6990
16,6721
17,8120
18,6750
19,6911
20,6714
21,5470
22,5431
23,4826
24,6625
25,7964
26,6636
27,6698
28,9317
29,7433
30,7433
31,4932
32,5086
33,7519
34,7519
35,9361
36,6762
37,6731
38,7973
39,6743
40,4958
41,5582
42,5561
43,6772
44,7054
45,6906
46,8198
47,6814
48,7116
49,8320
50,7028
51,6957
52,9406
53,7433
54,7433
55,4982
56,7084
57,8228
58,6950
59,6808
60,7130
61,5780
62,5691
63,5088
