"Query","Algorithm","Time","WCOJTime","copy","mat"
"Cycle(4)","WCOJ","6,21","2,45","0,09","3,18"
"Cycle(5)","WCOJ","13,39","9,05","0,25","3,51"
"Cycle(6)","WCOJ","34,51","28,63","0,46","4,50"
