"Query","Algorithm","Count","Time","WCOJTime","copy","mat"
"Cycle(4)","BinaryJoins","17372","2,85","0,00","0,00","0,00"
"Cycle(4)","WCOJ","17372","1,49","0,11","0,00","0,59"
"Cycle(5)","BinaryJoins","128840","3,99","0,00","0,00","0,00"
"Cycle(5)","WCOJ","128840","0,92","0,32","0,01","0,28"
"Cycle(6)","BinaryJoins","1116504","30,94","0,00","0,00","0,00"
"Cycle(6)","WCOJ","1116504","2,95","2,27","0,04","0,28"
