Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),WCOJ,000000188.705,002.33,000.51,000.01,001.56
Cycle(4),WCOJ,00003.076.324,006.11,003.10,000.11,002.52
Clique(5),WCOJ,000000007.064,007.96,002.67,000.00,004.98
