Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),WCOJ,000000188.705,002.45,000.54,000.01,001.63
Cycle(4),WCOJ,00003.076.324,006.49,003.44,000.12,002.52
Clique(5),WCOJ,000000007.064,007.94,002.67,000.00,004.96
