"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","2,86","0,60","0,06","1,75"
"Clique(5)","WCOJ","10,53","4,79","0,07","5,16"
"Cycle(6)","WCOJ","27,84","21,92","0,44","4,56"
