"Query","Algorithm","Time","WCOJTime","copy","mat"
"Cycle(4)","WCOJ","6,12","2,90","0,10","2,64"
"Cycle(5)","WCOJ","13,91","10,05","0,25","3,03"
"Cycle(6)","WCOJ","38,24","33,32","0,45","3,54"
