0,2567
1,3784
2,2567
3,3890
4,4364
5,4309
6,4332
7,5701
8,2567
9,3784
10,2567
11,3890
12,4580
13,5790
14,4484
15,4569
16,5131
17,6339
18,7519
19,6404
20,6339
21,3748
22,6136
23,5021
24,7519
25,6136
26,4928
27,6201
28,6404
29,5021
30,6201
31,3813
32,3733
33,6158
34,4979
35,6329
36,6158
37,4837
38,6083
39,7433
40,4979
41,6083
42,3658
43,6254
44,6329
45,7433
46,6254
47,5008
48,4418
49,4361
50,5532
51,4432
52,3751
53,2481
54,3623
55,2481
56,5547
57,4230
58,4230
59,4265
60,3751
61,2481
62,3623
63,2481
