0,4169
1,4102
2,4198
3,4033
4,4220
5,4163
6,4127
7,4039
8,4284
9,4218
10,4299
11,4160
12,4282
13,4249
14,4269
15,4167
16,4116
17,4124
18,4052
19,3951
20,4073
21,4045
22,3984
23,3949
24,4079
25,4146
26,4104
27,4023
28,4085
29,4138
30,4039
31,4026
32,4096
33,4119
34,4126
35,4047
36,4151
37,4173
38,4109
39,4099
40,4119
41,4229
42,4235
43,4168
44,4235
45,4289
46,4193
47,4218
48,4178
49,4142
50,4170
51,4040
52,4196
53,4056
54,4111
55,3982
56,4281
57,4268
58,4289
59,4178
60,4245
61,4165
62,4210
63,4163
